id,created_at,auth_user_id,profile_id,action,old_payload,new_payload
b8ed3c32-289d-49d9-8ad9-75ea460e3bd0,Mon Feb 16 2026 16:04:10 GMT-0400 (Horário Padrão do Amazonas),,a697eb02-20a2-4821-8247-4d3c579fa3a3,INSERT,,[object Object]
a956f323-5f01-49c8-84c7-90a3fe669b2f,Mon Feb 16 2026 16:04:10 GMT-0400 (Horário Padrão do Amazonas),,871d0c5e-d6fb-45ca-90ac-e3b5814e7fca,INSERT,,[object Object]
dcc38557-6d03-4ffc-929c-e1c654be0a6c,Mon Feb 16 2026 16:04:10 GMT-0400 (Horário Padrão do Amazonas),,32118b54-aa22-4982-8fe8-488d52b7f2db,INSERT,,[object Object]
83fdd6c1-2860-4360-8771-50fd3179a2b2,Mon Feb 16 2026 16:08:13 GMT-0400 (Horário Padrão do Amazonas),,9bb51032-7ff4-4868-9ab8-2f0793d36c19,INSERT,,[object Object]
8553b327-45c9-4bbe-80e3-62dc29e45787,Mon Feb 16 2026 16:08:13 GMT-0400 (Horário Padrão do Amazonas),,9bb51032-7ff4-4868-9ab8-2f0793d36c19,UPDATE,[object Object],[object Object]
fd61afc6-725d-46a3-8bf3-92a0a875b96c,Mon Feb 16 2026 16:13:59 GMT-0400 (Horário Padrão do Amazonas),,6e0d252b-a959-4eca-b91e-bc1f097387cf,INSERT,,[object Object]
d2c7ea05-660c-4430-885d-22245e3ba9c0,Mon Feb 16 2026 16:13:59 GMT-0400 (Horário Padrão do Amazonas),,6e0d252b-a959-4eca-b91e-bc1f097387cf,UPDATE,[object Object],[object Object]
47d4e939-b64c-44a5-9b41-7a523c8c9cce,Mon Feb 16 2026 16:14:21 GMT-0400 (Horário Padrão do Amazonas),,9f43f52b-044f-4c15-beab-4d1e0fd78edc,INSERT,,[object Object]
e44e2838-d6ac-4685-ab3e-8c8a2f92bc6c,Mon Feb 16 2026 16:14:23 GMT-0400 (Horário Padrão do Amazonas),,9f43f52b-044f-4c15-beab-4d1e0fd78edc,UPDATE,[object Object],[object Object]
7401fdaa-61da-4161-b505-8e63217fd86f,Mon Feb 16 2026 16:16:09 GMT-0400 (Horário Padrão do Amazonas),,5ebe247c-413e-4b80-8de2-848f74944d8e,INSERT,,[object Object]
a7b6e569-3a1f-4aad-8e23-a1c766fd93a9,Mon Feb 16 2026 16:18:58 GMT-0400 (Horário Padrão do Amazonas),,9a07cd37-6a94-4d60-ace9-745146bb6dd8,INSERT,,[object Object]
44afc0c8-65e0-495b-b0c1-795e536659ee,Mon Feb 16 2026 16:18:59 GMT-0400 (Horário Padrão do Amazonas),,22960042-4de3-4ac0-9eb5-b5d93df8ac3b,INSERT,,[object Object]
ec839af3-d076-4bdd-8deb-d5000d491c49,Mon Feb 16 2026 16:19:06 GMT-0400 (Horário Padrão do Amazonas),,d658c10d-2473-4ec0-bb14-627788f69525,INSERT,,[object Object]
0019d3fd-0761-4366-9594-e03292861be3,Mon Feb 16 2026 16:21:29 GMT-0400 (Horário Padrão do Amazonas),,4e2d4e1d-bfdc-4095-b1c8-69126f6f08a7,INSERT,,[object Object]
d5bb3f28-4f51-49ff-8dbd-a45ed7501739,Thu Feb 19 2026 08:01:53 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,INSERT,,[object Object]
144a40ed-7d70-4e1a-aff1-7842fc9b70de,Thu Feb 19 2026 08:01:55 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
7698176d-d0a1-4ae9-a7f6-4668beeca52d,Thu Feb 19 2026 11:13:43 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
382bf201-bc83-49a0-a87f-6b2267042f18,Tue Mar 03 2026 09:23:08 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
5c7d29c2-c788-44d1-9f6e-cd04aba121d1,Tue Mar 03 2026 09:36:36 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
a69833d7-7de6-415b-bbec-9491d2737ebb,Wed Mar 04 2026 10:36:03 GMT-0400 (Horário Padrão do Amazonas),,3bfbf52d-9449-43da-a65b-de395eed3f18,UPDATE,[object Object],[object Object]
93de09f2-30b8-4e97-91c4-2215f291fcfc,Wed Mar 04 2026 10:36:04 GMT-0400 (Horário Padrão do Amazonas),,3bfbf52d-9449-43da-a65b-de395eed3f18,UPDATE,[object Object],[object Object]
70c365b2-0385-4d79-801d-3112b0d8e1fb,Wed Mar 04 2026 10:40:32 GMT-0400 (Horário Padrão do Amazonas),,15041ac2-3b97-42f1-8bb1-948f78665c4b,UPDATE,[object Object],[object Object]
f5f4241f-491b-49da-8df4-1b990c18100d,Wed Mar 04 2026 10:42:36 GMT-0400 (Horário Padrão do Amazonas),,fb795bc3-a6d0-4222-8e6f-6814c1a3dcb7,UPDATE,[object Object],[object Object]
a766b1ff-ee4e-4971-8edc-e60d62e76d9d,Wed Mar 04 2026 10:45:27 GMT-0400 (Horário Padrão do Amazonas),,7095e991-51c1-49da-acbb-18fe3c4b57e6,UPDATE,[object Object],[object Object]
bae6aaa5-5872-4a8e-b88e-ab0b928e58b6,Wed Mar 04 2026 15:36:11 GMT-0400 (Horário Padrão do Amazonas),,af12623c-0049-426b-b5aa-ea0c1faebe78,UPDATE,[object Object],[object Object]
2d6cdbfc-20b0-49bf-bd52-17c9bc2005b2,Wed Mar 04 2026 15:45:52 GMT-0400 (Horário Padrão do Amazonas),,8bfcfcd8-fc35-4c19-92dc-30bf929da580,UPDATE,[object Object],[object Object]
ac207db1-732c-4c7b-b4c5-548b79cb129f,Wed Mar 04 2026 15:45:53 GMT-0400 (Horário Padrão do Amazonas),,8bfcfcd8-fc35-4c19-92dc-30bf929da580,UPDATE,[object Object],[object Object]
879c1b63-f671-4685-8187-e8bf12b27d99,Wed Mar 04 2026 15:49:06 GMT-0400 (Horário Padrão do Amazonas),,b57aea55-e09a-4fb2-9ccb-dcf80276490b,UPDATE,[object Object],[object Object]
099b2534-6f1a-4ce3-bef7-510402af93bf,Wed Mar 04 2026 15:49:08 GMT-0400 (Horário Padrão do Amazonas),,b57aea55-e09a-4fb2-9ccb-dcf80276490b,UPDATE,[object Object],[object Object]
5d18b83a-6c1e-4713-b951-1ffb6f6e892c,Wed Mar 04 2026 18:53:28 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
c93c011b-1f95-4682-b70b-3c3137748958,Wed Mar 04 2026 18:54:47 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
41626536-383f-4007-9c22-1e6486900759,Wed Mar 04 2026 18:54:57 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
d31f21b5-0eb2-450c-ac90-e74131803dd3,Sat Mar 07 2026 07:49:48 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
9b446cb9-d50e-4f0c-8fab-13e59e2b9168,Sat Mar 07 2026 07:49:49 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
136f34ef-d446-466b-9ed8-e264e3d8b057,Sat Mar 07 2026 07:51:38 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
508e61b1-bc86-41e6-bdb2-9fdb5075f28c,Sat Mar 07 2026 07:51:39 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
5e02f8f8-c502-450b-a42d-a397b34259a4,Sat Mar 07 2026 07:56:34 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
30efba04-835f-436f-99f0-aecd73b9bcd4,Sat Mar 07 2026 07:56:34 GMT-0400 (Horário Padrão do Amazonas),,a3c39e60-b4d9-4b2f-9555-85b436ebcf57,UPDATE,[object Object],[object Object]
